Genres,revenue,Year
Comedy,309457509,1999
Comedy,27500000,1999
Comedy,4217115,1999
Comedy,8946237,1999
Action,10667893,1999
Action,11263966,1999
Action,117758500,1999
Comedy,45703,1999
Action,108000000,1999
Comedy,1943649,1999
Action,3193102,1999
Comedy,58900031,1999
Comedy,2303,1998
Comedy,36911617,1999
Comedy,67872296,1999
Action,211989043,1999
Comedy,4488529,1999
Comedy,1281176,1999
Comedy,65535067,1999
Comedy,93700000,1999
Comedy,929606,1999
Comedy,47434430,1999
Comedy,90683916,1999
Comedy,59827328,2000
Comedy,8434146,1999
Action,30471,1999
Action,1631839,2000
Comedy,36037909,2000
Comedy,106371651,2000
Action,9000000,2000
Comedy,15427192,2000
Comedy,24362772,2000
Action,1702394,1994
Action,91036760,2000
Comedy,47126295,2000
Action,12372410,2000
Action,71000000,2000
Comedy,369975,2000
Comedy,37036004,2000
Comedy,28200000,1999
Action,40717,1999
Action,27728118,2000
Action,127666415,2000
Comedy,33771174,2000
Comedy,3728888,2000
Action,457640427,2000
Comedy,4000000,1999
Action,21400000,2000
Comedy,119754278,2000
Action,237202299,2000
Comedy,299792,2000
Comedy,20627372,2000
Action,107196498,2000
Comedy,149270999,2000
Action,35134820,2000
Comedy,278019771,2000
Comedy,2600000,1999
Comedy,113916474,2000
Action,190213455,2000
Action,128884132,2000
Comedy,151559,2000
Comedy,90449929,2000
Action,15843608,2000
Action,19125401,2000
Comedy,1744858,2000
Action,19412993,2000
Comedy,330444045,2000
Comedy,13700000,2000
Action,264105545,2000
Comedy,183611771,2000
Action,15185241,2000
Action,215663859,2000
Comedy,152500343,2000
Comedy,73180723,2000
Comedy,374111707,2000
Comedy,212000000,2000
Action,71868327,2000
Action,18195610,2001
Comedy,779137,2000
Comedy,94728529,2001
Comedy,3818452,2000
Comedy,10424470,2001
Comedy,19351569,2001
Action,18720175,2001
Action,147845033,2001
Comedy,2070806,2000
Action,56359980,2001
Comedy,637769,2001
Action,79958599,2001
Action,147934180,2001
Comedy,23430766,2001
Comedy,281929795,2001
Action,54744738,2001
Comedy,10372291,2001
Comedy,1079726,2001
Action,84772742,2001
Action,98376292,2001
Action,147080413,2001
Comedy,176104344,2001
Action,207283925,2001
Comedy,93375151,2001
Action,64437847,2001
Comedy,141220678,2001
Comedy,141774679,2001
Action,71069884,2001
Action,5476060,2001
Comedy,1443067,2001
Comedy,295206,2001
Comedy,49501,1998
Comedy,165335153,2001
Action,347325802,2001
Comedy,287553595,2001
Action,13678913,2001
Comedy,1051948,2001
Comedy,33788161,2001
Action,14010832,2001
Comedy,688510,2000
Comedy,4574762,2001
Comedy,261603,2002
Action,27053815,2001
Comedy,40222729,2001
Comedy,251058,2001
Action,8493890,2002
Action,104876233,2001
Comedy,2402459,2001
Comedy,60780981,2001
Action,1,2001
Comedy,17292381,2001
Comedy,77516304,2001
Action,67631903,2001
Action,23978402,2001
Action,7316658,2001
Action,27642707,2001
Comedy,35743308,2001
Action,72700000,2001
Comedy,141069860,2001
Action,10229331,2001
Comedy,2025238,2001
Comedy,14782676,2001
