Genres,revenue,Year
Action,18035000,2011
Comedy,14870,2010
Action,370569774,2011
Comedy,142851197,2011
Action,19560274,2011
Comedy,10967,2010
Action,4634062,2011
Comedy,17273593,2011
Comedy,3867000,2010
Comedy,144633,2011
Comedy,75450437,2011
Action,40547440,2011
Comedy,35387212,2011
Comedy,8220215,2010
Comedy,1056938,2009
Comedy,621951,2011
Action,60965854,2011
Comedy,10130000,2011
Comedy,88025781,2011
Comedy,22270,2010
Action,23057115,2011
Action,57777106,2011
Comedy,8500000,2010
Action,101236,2011
Comedy,39187783,2011
Action,62000000,2010
Action,299268508,2011
Action,173930596,2011
Comedy,27603069,2011
Comedy,1296937,2011
Comedy,30426096,2011
Action,2527904,2011
Comedy,850994,2010
Action,152930623,2011
Action,3696232,2011
Comedy,149673788,2011
Action,2128186,2011
Comedy,355688,2011
Action,33662874,2011
Comedy,177243185,2011
Comedy,165184237,2011
Action,9400000,2009
Comedy,34942188,2011
Action,9489829,2013
Action,312573423,2012
Action,1084939099,2012
Action,276572938,2012
Comedy,22939027,2011
Comedy,142044638,2011
Action,694713380,2011
Comedy,342695435,2011
Comedy,12186625,2011
Comedy,400654,2009
Action,77278331,2012
Action,46221189,2012
Action,33372606,2011
Action,12355798,2011
Action,36893721,2012
Comedy,22772019,2010
Action,51723285,2010
Action,208076205,2012
Comedy,1000000,2011
Comedy,1243961,2012
Comedy,393816,2011
Comedy,43000000,2011
Action,149217355,2011
Comedy,100000000,2012
Comedy,7448385,2011
Action,81272766,2012
Action,156974557,2012
Action,284139100,2012
Comedy,6483963,2012
Action,201585328,2012
Action,32204030,2012
Action,8135031,2012
Comedy,234989584,2012
Action,4105187,2011
Comedy,122550,2011
Comedy,30905,2011
Comedy,54819301,2012
Comedy,9504139,2011
Comedy,53909751,2012
Comedy,96070507,2012
Action,40346186,2012
Comedy,37710610,2011
Comedy,245527149,2012
Action,43880,2010
Comedy,179379533,2012
Action,624026776,2012
Comedy,1428291,2011
Comedy,9206470,2012
Comedy,24159934,2012
Comedy,68263166,2012
Comedy,29007412,2011
Comedy,4007792,2012
Action,112265139,2012
Action,1163967,2010
Comedy,59418613,2012
Comedy,9636289,2012
Comedy,549368315,2012
Action,752215857,2012
Comedy,68267862,2012
Comedy,1653792,2012
Comedy,9128263,2012
Action,198802074,2012
Comedy,1378,2011
Action,1108561013,2012
Comedy,104907746,2012
Comedy,77112176,2012
Comedy,3094813,2012
Action,14400000,2012
Comedy,48531470,2010
Comedy,11947954,2012
Comedy,115350426,2012
Action,16863583,2012
Action,47042000,2012
Comedy,58058367,2012
Action,240159255,2012
Comedy,252603,2012
Action,41037742,2012
Action,1620436,2012
Action,376141306,2012
Comedy,102388,2012
Comedy,19422261,2012
Comedy,175706,2011
Comedy,13521829,2011
Action,4100000,2012
Action,30353232,2012
Comedy,73100172,2012
Action,15608545,2012
Action,3358,2011
Action,2106557,2012
Comedy,31649,2010
Comedy,201146,2011
Comedy,539896,2011
Comedy,8887603,2012
Action,4636169,2012
Comedy,41863726,2012
Comedy,88058786,2012
Comedy,22930,2012
Comedy,14567,2012
Comedy,119772232,2012
Action,61700000,2012
Action,6294161,2012
Action,5750,2012
Comedy,60141683,2013
Comedy,306724,2012
Comedy,32438988,2013
Action,46216641,2013
Comedy,61782,2012
Action,16700000,2010
Comedy,173965010,2013
Action,304654182,2013
Comedy,48065672,2013
Comedy,366377,2011
Comedy,2750275,2012
Action,197687603,2013
Comedy,21350,1998
Comedy,28234657,2013
Comedy,27437881,2013
Comedy,11724119,2013
Action,161025640,2013
Comedy,228,2013
Comedy,11879046,2012
Action,704,2012
Action,63327201,2013
Comedy,18000000,2013
Action,9747,2013
Comedy,45250,2012
Action,286168572,2013
Comedy,10016934,2012
Comedy,78378744,2013
Action,64076736,2013
Action,126041322,2013
Action,1215439994,2013
Comedy,104810,2013
Action,467365246,2013
Comedy,44000000,2013
Comedy,362000072,2013
Action,788679850,2013
Comedy,4069826,2013
Action,10759,2011
Comedy,25,2010
Comedy,23198652,2013
Action,662845518,2013
Comedy,21819348,2013
Action,407602906,2013
Action,531865000,2013
Action,205366737,2013
Comedy,46089287,2013
Action,8352885,2013
Action,158674180,2013
Action,89289910,2013
Action,83519699,2012
Comedy,6854611,2013
Comedy,1065881,2012
Action,37884,2013
Action,39881,2013
Action,415440673,2013
Action,13500000,2009
Action,131940411,2013
Comedy,208000000,2012
Comedy,99206215,2013
Comedy,8371085,2013
Comedy,9800000,2013
Action,2054941,2013
Comedy,269994119,2013
Comedy,246984278,2013
Action,60700000,2013
Action,90565421,2013
Comedy,2963902,2013
Comedy,87100449,2013
Action,3639345,2013
Action,83,1995
Action,11301649,2009
Comedy,99067206,2013
Action,10501938,2013
Comedy,2159041,2013
Comedy,3566225,2013
Comedy,47000000,2013
Comedy,25288872,2013
Comedy,19613,2013
Action,466088,2013
Action,95000000,2013
Action,15008161,2013
Action,3250000,2008
Comedy,22456509,2013
Action,122915111,2013
Comedy,11384015,2012
Comedy,21520719,2010
Comedy,6086224,2011
Action,6108720,2013
Comedy,151831537,2013
Action,644571402,2013
Comedy,134402450,2013
Comedy,71625195,2013
Comedy,51164106,2013
Action,11650,2013
Action,43058898,2013
Comedy,74188937,2013
Action,149295601,2013
Comedy,112544580,2013
Comedy,2755584,2012
Comedy,173649015,2013
Action,86758912,2013
Comedy,11417362,2012
Action,532269,2013
Comedy,44907260,2013
Action,12000000,2004
Comedy,175705,2013
Comedy,4500000,2013
Action,153997819,2014
Action,50549107,2014
Action,551281,1996
Comedy,13954476,2004
Comedy,33232,2013
Comedy,2107925,2013
Action,242688965,2014
Comedy,64065,2013
Action,17508518,2014
Comedy,7176347,2014
Comedy,25109572,2012
Comedy,49002684,2014
Comedy,174600318,2014
Comedy,26049082,2014
Action,52597999,2014
Action,222809600,2014
Action,337580051,2014
Comedy,3123963,2014
Action,203277636,2014
Comedy,15071,2014
Comedy,3485127,2014
Comedy,7800000,2013
Action,714766572,2014
Action,61279452,2014
Comedy,80383290,2014
Comedy,523511,2013
Action,3903479,2012
Comedy,1938,2012
Action,2627209,2014
Action,705717432,2014
Action,447784,1994
Comedy,2681345,2013
Comedy,196781193,2014
Comedy,2225098,2013
Action,68896829,2014
Action,117831631,2014
Comedy,268157400,2014
Comedy,4187,2013
Action,3500000,2008
Comedy,10429707,2014
Action,126546825,2014
Action,747862775,2014
Action,529076069,2014
Comedy,59209,2014
Comedy,45967935,2014
Comedy,123494610,2014
Comedy,63464861,2013
Action,370541256,2014
Comedy,3430018,2014
Comedy,6748712,2012
Comedy,500000,2012
Comedy,70181428,2014
Comedy,645186,2014
Comedy,23000000,2014
Comedy,100525432,2014
Comedy,25312387,2014
Comedy,126069509,2014
Comedy,3346257,2013
Action,773328629,2014
Action,206172544,2014
Action,243400000,2014
Comedy,51029361,2014
Comedy,13769,2014
Comedy,136621271,2014
Comedy,265452,2013
Action,160602194,2014
Action,348319861,2014
Comedy,1066981,2014
Comedy,1289998,2014
Comedy,1359497,2014
Comedy,1826705,2014
Comedy,3333000,2014
Action,88761661,2014
Comedy,54837234,2014
Comedy,4439431,2014
Action,72287783,2013
Action,22896728,2008
Action,5873871,2009
Comedy,11110975,2014
Comedy,169837010,2014
Action,3721345,2013
Comedy,107670357,2014
Action,3302463,2013
Action,956019788,2014
Comedy,7888102,2003
Action,12342632,2014
Comedy,53213633,2011
Comedy,4684165,2007
Comedy,10743767,2008
Comedy,133821816,2014
Comedy,120000000,2014
Comedy,55282,2011
Comedy,9195,2013
Comedy,2483130,2014
Comedy,32230907,2013
Action,48965210,2013
Comedy,25781,2014
Action,11672363,2014
Comedy,12212123,2003
Comedy,23598,2014
Comedy,3367646,2004
Comedy,928391,2004
Comedy,7211180,2011
Action,666045,2008
Comedy,531826,2010
Action,1469,2013
Comedy,13218980,2012
Action,7500000,2014
Comedy,29456000,1997
Comedy,4508104,2002
Comedy,12005838,2010
Action,3923970,2009
Comedy,1430655,2014
Comedy,1064454,2014
Comedy,14348529,2014
Action,5240,2014
Action,1558836,2014
Action,6833445,2014
Comedy,8927600,2012
Comedy,111996,2014
Action,81170000,2013
Action,7200000,2012
Comedy,5850000,2010
Action,18130000,2009
Action,6000000,2002
Action,51000000,2013
Action,12000000,2007
Action,91000000,2013
Action,50000000,2013
Comedy,2,2006
Comedy,9112193,2009
Comedy,12058187,2014
Comedy,35000000,2012
Comedy,10703234,2012
Comedy,12935800,2011
Comedy,9500000,2013
Comedy,45000,2014
Comedy,12000000,2013
Action,14961069,2007
Comedy,3447633,2014
Comedy,1296000,2009
Comedy,33053559,2005
Comedy,1101480,2007
Comedy,300000,2006
Comedy,6000000,2005
Comedy,850259,2013
Action,581011,2014
Comedy,40924982,2012
Comedy,42700000,2001
Action,49028000,2012
Action,13,1995
Comedy,1500000,2014
Action,1100000,2004
Action,117629,2012
Comedy,33013805,2002
Action,1000000,2012
Action,340312,2002
Comedy,520000,2010
Comedy,5279982,2014
Comedy,5330000,2008
Comedy,149521495,2014
Action,1261947,2012
Comedy,7471304,2013
Comedy,38261,2011
Action,4200000,2010
Action,31000000,2012
Comedy,5900000,2010
Action,11000000,2004
Comedy,4900000,2013
Comedy,204,2006
Comedy,8000000,2008
Action,16000000,2012
Comedy,6600000,2009
Comedy,10000000,2010
Comedy,5000000,2010
Comedy,966214,2006
Action,18000000,2009
Action,6000000,2011
Comedy,7636,2013
Action,21000000,2013
Action,28000000,2011
Action,19000000,2014
Action,500000,2002
Action,500000,2001
Action,500000,1995
Comedy,3848034,2008
Action,9700000,2010
Action,3,2003
Action,98900000,2011
Action,8500000,2005
Comedy,286000,2002
Action,198,2010
Action,55000000,2014
Comedy,81350000,2013
Comedy,1248748,2011
Comedy,1672940,2012
Comedy,20400,2008
Comedy,404785,2007
Action,126,2012
Comedy,1369280,1999
Action,10161213,2007
Comedy,10474,2010
Comedy,34659,2012
Comedy,223003,2014
Action,5290,2012
Comedy,60,2011
Comedy,750000,2013
Comedy,14054361,2004
Action,8262833,2005
Comedy,9816332,2011
Comedy,55635037,2007
Comedy,400134,2011
Comedy,3462,2012
Comedy,33700,2003
Action,11171900,2007
Comedy,4864560,2014
Comedy,4803665,2013
Action,2294357,2010
Comedy,17850711,2008
Comedy,10198357,2010
Action,3704408,2009
Comedy,17566040,2009
Action,4588176,2012
Action,3919731,2006
Comedy,700000,2003
Comedy,9713500,2008
Comedy,160829,2009
Action,2252547,2011
Comedy,9938268,2012
Action,5,2012
Action,60700,2001
Action,22175908,2006
Comedy,103504,2012
Comedy,11666088,2012
Comedy,8000000,2011
Comedy,1957000,2011
Comedy,2411594,2005
Action,15000000,1995
Action,19000000,2007
Comedy,1359497,2014
Comedy,1328612,2006
Action,1413000,2007
